hashtags,retweeted,coordinates,content,followers_count,score,location,retweet_count,listed_count,favorited,utc_offset,description,user_mentions,trackback_author_url,geo_enabled,geo,lang,favourites_count,firstpost_date,url,time_zone,place,trackback_author_nick,trackback_permalink
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @CF_Peel @danniki @advocacyrss,1554,7.431934,CheckOrphan.org - US,1,38,False,-18000,#Raredisease Advocate_Physician Relationship Consult_ http://CheckOrphan Outreach /Freelance Writer/Blog_Social Med / networking / lover of life,SeqComplete~CF_Peel~danniki~advocacyrss,http://twitter.com/advocacyrss,False,None,en,521,06/04/14,http://twitter.com/advocacyrss/status/474175893158363136,Central Time (US & Canada),None,advocacyrss,http://twitter.com/advocacyrss/status/474175893158363136
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @i_EXTREME @danblain @ConsanoMolly http://t.co/dOWpIRyAK4,1214,7.2561445,"New York, NY",0,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~i_EXTREME~danblain~ConsanoMolly,http://twitter.com/orphandruganau,False,None,en,587,06/05/14,http://twitter.com/orphandruganau/status/474366359069925376,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/474366359069925376
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.481632,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/05/14,http://twitter.com/seqcomplete/status/474445519897759744,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474445519897759744
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @The_FA_Walk @myCF_Mobile @ellynnszoke,681,9.103905,,1,30,False,7200,,The_FA_Walk~myCF_Mobile~ellynnszoke,http://twitter.com/seqcomplete,False,None,en,44,06/05/14,http://twitter.com/seqcomplete/status/474457030129119232,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474457030129119232
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @The_FA_Walk @myCF_Mobile @ellynnszoke,17,7.338002,United States,1,0,False,-14400,FDNA has developed Face2Gene - a mobile genetic reference app to detect facial dysmorphic features,SeqComplete~The_FA_Walk~myCF_Mobile~ellynnszoke,http://twitter.com/fdna_tweets,False,None,en,8,06/05/14,http://twitter.com/fdna_tweets/status/474463461108219904,Eastern Time (US & Canada),None,fdna_tweets,http://twitter.com/FDNA_Tweets/status/474463461108219904
RareDiseaseDay,False,None,Read #RareDiseaseDay http://t.co/48GQ15vw9y,702,8.994791,New Jersey,0,42,False,-18000,Passionate #RareDisease patient-advocate..I Care because I'm Rare...Co-Founder@allianceforcryo  Stanford #MedX #ePatient Scholar #cryoglobulinemia #vasculitis,,http://twitter.com/mvennitti,False,None,en,137,06/05/14,http://twitter.com/mvennitti/status/474541918290853889,Quito,None,mvennitti,http://twitter.com/mvennitti/status/474541918290853889
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @Consano @22qds @findacure_fdn http://t.co/dOWpIRyAK4,1214,7.4247475,"New York, NY",0,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~Consano~22qds~findacure_fdn,http://twitter.com/orphandruganau,False,None,en,587,06/06/14,http://twitter.com/orphandruganau/status/474706096515325952,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/474706096515325952
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.444749,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/06/14,http://twitter.com/seqcomplete/status/474807907629137920,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474807907629137920
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @BeautyBus @chelseashae2 @XcelEvents1,681,8.5062475,,1,30,False,7200,,BeautyBus~chelseashae2~XcelEvents1,http://twitter.com/seqcomplete,False,None,en,44,06/06/14,http://twitter.com/seqcomplete/status/474819412735037441,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/474819412735037441
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete ▸  todays top stories via @jonathanbegood @04VanSelects @thisisYashaswi http://t.co/dOWpIRyAK4,1214,7.362106,"New York, NY",0,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete~jonathanbegood~04VanSelects~thisisYashaswi,http://twitter.com/orphandruganau,False,None,en,587,06/06/14,http://twitter.com/orphandruganau/status/474867606969540609,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/474867606969540609
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @BeautyBus @chelseashae2 @XcelEvents1,2353,7.4376855,"Santa Monica, California",1,65,False,-25200,"Beauty Bus delivers dignity, hope and respite to chronically or terminally ill patients and their caregivers through beauty services and pampering products.",SeqComplete~BeautyBus~chelseashae2~XcelEvents1,http://twitter.com/beautybus,False,None,en,63,06/06/14,http://twitter.com/beautybus/status/475062842941394944,Pacific Time (US & Canada),None,beautybus,http://twitter.com/BeautyBus/status/475062842941394944
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.481632,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/07/14,http://twitter.com/seqcomplete/status/475170295243096064,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475170295243096064
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @savingcase @eithnehunt @CanK30,681,7.5627055,,0,30,False,7200,,savingcase~eithnehunt~CanK30,http://twitter.com/seqcomplete,False,None,en,44,06/07/14,http://twitter.com/seqcomplete/status/475181785706659840,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475181785706659840
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete  http://t.co/dOWpIRyAK4,1214,8.95019,"New York, NY",1,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete,http://twitter.com/orphandruganau,False,None,en,587,06/07/14,http://twitter.com/orphandruganau/status/475277752761712640,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/475277752761712640
RareDiseaseDay,False,None,RT @orphandruganau: Read #RareDiseaseDay From @SeqComplete  http://t.co/dOWpIRyAK4,15442,7.8308625,,1,21,False,-14400,## Biotech Investor -  #Small Caps -- An investment in knowledge brings the best returns.   --Traveled all over the place & nothing like Home. MIAMI....,orphandruganau~SeqComplete,http://twitter.com/zoneblitzzzz,False,None,en,4652,06/07/14,http://twitter.com/zoneblitzzzz/status/475279420555423744,Eastern Time (US & Canada),None,zoneblitzzzz,http://twitter.com/zoneblitzzzz/status/475279420555423744
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.420073,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/08/14,http://twitter.com/seqcomplete/status/475532683331002369,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475532683331002369
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @RhodesMaryb @RideAtaxia @behcetspain,681,8.870023,,1,30,False,7200,,RhodesMaryb~RideAtaxia~behcetspain,http://twitter.com/seqcomplete,False,None,en,44,06/08/14,http://twitter.com/seqcomplete/status/475544167423426560,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475544167423426560
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @RhodesMaryb @RideAtaxia @behcetspain,525,7.1160316,Spain,1,18,False,7200,Twitter Oficial de la Asociación Española de la Enfermedad de Behçet -- Behçet`s Disease Spanish Association Official Twitter,SeqComplete~RhodesMaryb~RideAtaxia~behcetspain,http://twitter.com/behcetspain,False,None,es,34,06/08/14,http://twitter.com/behcetspain/status/475586081648549888,Amsterdam,None,behcetspain,http://twitter.com/behcetspain/status/475586081648549888
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.444749,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/09/14,http://twitter.com/seqcomplete/status/475895071028809728,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475895071028809728
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @Support4Tosh @RareGenomics @Gal_racer,681,9.641446,,2,30,False,7200,,Support4Tosh~RareGenomics~Gal_racer,http://twitter.com/seqcomplete,False,None,en,44,06/09/14,http://twitter.com/seqcomplete/status/475906581566328832,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/475906581566328832
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @Support4Tosh @RareGenomics @Gal_racer,183,7.341168,"Concord, New Hampshire",2,0,False,None,My good friends son Tosh has been diagnosed with a rare incurable disease. They are raising money for clinical trials and travel expenses. Please help support!,SeqComplete~Support4Tosh~RareGenomics~Gal_racer,http://twitter.com/support4tosh,False,None,en,215,06/09/14,http://twitter.com/support4tosh/status/475947218638503937,None,None,support4tosh,http://twitter.com/Support4Tosh/status/475947218638503937
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @Support4Tosh @RareGenomics @Gal_racer,915,7.341168,,2,15,False,None,,SeqComplete~Support4Tosh~RareGenomics~Gal_racer,http://twitter.com/gal_racer,False,None,en,12913,06/09/14,http://twitter.com/gal_racer/status/476068076270546945,None,None,gal_racer,http://twitter.com/Gal_racer/status/476068076270546945
RareDiseaseDay,False,None,Read #RareDiseaseDay http://t.co/NshZYKRBTt,474,10.009983,"Des Moines, Iowa",2,4,False,-14400,Pediatrician aka...Sweet Mike. St. Jude Childrens Research Hospital Trained,,http://twitter.com/likeafox7210,False,None,en,6550,06/09/14,http://twitter.com/likeafox7210/status/476094377928847361,Eastern Time (US & Canada),None,likeafox7210,http://twitter.com/likeafox7210/status/476094377928847361
RareDiseaseDay,False,None,RT @likeafox7210: Read #RareDiseaseDay http://t.co/NshZYKRBTt,771,8.349969,"London, UK",2,2,False,None,Supporting families who've also suffered a #loss of a #baby or #child & has given the #giftoflife to save others. All pics & comms welcome. ❤️UL&Mx,likeafox7210,http://twitter.com/leos_legacy,False,None,en,7798,06/09/14,http://twitter.com/leos_legacy/status/476098399771828224,None,None,leos_legacy,http://twitter.com/leos_legacy/status/476098399771828224
RareDiseaseDay,False,None,RT @likeafox7210: Read #RareDiseaseDay http://t.co/NshZYKRBTt,453,8.349969,         with angelmansyndrome,2,3,False,None,mother to an amazing little boy,likeafox7210,http://twitter.com/flishflash1,False,None,en-gb,2579,06/09/14,http://twitter.com/flishflash1/status/476102941003485184,None,None,flishflash1,http://twitter.com/flishflash1/status/476102941003485184
RareDiseaseDay,False,None,Read #RareDiseaseDay From @SeqComplete  http://t.co/dOWpIRyAK4,1214,8.195096,"New York, NY",0,39,False,-14400,"Providing competitive intelligence, consulting services, news, & Internet buzz on global #OrphanDrug, #RareDisease, & #BTD developments.",SeqComplete,http://twitter.com/orphandruganau,False,None,en,587,06/09/14,http://twitter.com/orphandruganau/status/476136208238518272,Eastern Time (US & Canada),None,orphandruganau,http://twitter.com/orphandruganau/status/476136208238518272
RareDiseaseDay~RareDisease,False,None,#RareDiseaseDay #RareDisease on Twe http://t.co/3dEtu2lsPw,681,8.499934,,0,30,False,7200,,,http://twitter.com/seqcomplete,False,None,en,44,06/10/14,http://twitter.com/seqcomplete/status/476257458659549184,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/476257458659549184
RareDiseaseDay,False,None,#RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @danreinhardt @GlobalGenes @genperisi,681,8.950319,,1,30,False,7200,,danreinhardt~GlobalGenes~genperisi,http://twitter.com/seqcomplete,False,None,en,44,06/10/14,http://twitter.com/seqcomplete/status/476268953405517824,Ljubljana,None,seqcomplete,http://twitter.com/SeqComplete/status/476268953405517824
RareDiseaseDay,False,None,RT @SeqComplete: #RareDiseaseDay is out! http://t.co/t9tpbWUPg3 Stories via @danreinhardt @GlobalGenes @genperisi,183,7.2029047,,1,0,False,None,Genetics and Applied Genomics Expert/Genome Coach/Science Communicator/Research &Networking Guru http://t.co/7435FZll8O,SeqComplete~danreinhardt~GlobalGenes~genperisi,http://twitter.com/genperisi,True,None,en,1326,06/10/14,http://twitter.com/genperisi/status/476269859282907136,None,None,genperisi,http://twitter.com/genperisi/status/476269859282907136
